hk_district,district,restaurant,cuisine,veg_type,address,latitude,longitude,openrice_url,phone,remarks
港島,銅鑼灣,大自然素食（銅鑼灣）,"中菜, 粵菜",蛋奶素,銅鑼灣軒尼詩道黃金廣場8樓,"22.28015679218789, 114.18424752407539",,https://www.openrice.com/zh/hongkong/r-%E5%A4%A7%E8%87%AA%E7%84%B6%E7%B4%A0%E9%A3%9F-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r22451,28081386,
港島,銅鑼灣,Nuttea,台式飲品,純素,銅鑼灣勿地臣街1號時代廣場B1樓city’super 221號舖,"22.278304611146485, 114.18200760873209",,https://www.openrice.com/zh/hongkong/r-nuttea-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E6%9E%9C%E6%B1%81-r700004,94274882,
港島,銅鑼灣,素.喜.館,多國菜,蛋奶素,銅鑼灣登龍街52號景隆商業大廈9樓,"22.27969907654793, 114.18250379523961",,https://www.openrice.com/zh/hongkong/r-%E7%B4%A0-%E5%96%9C-%E9%A4%A8-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%84%A1%E8%82%89%E9%A4%90%E5%96%AE-r500858,26028268,食之前一定要 Whatsapp 預約
港島,銅鑼灣,木糠甜品屋,"港式, 甜品店",非素食,銅鑼灣希雲街20號地下,"22.278088055604528, 114.18682355308864",,https://www.openrice.com/zh/hongkong/r-%E6%9C%A8%E7%B3%A0%E7%94%9C%E5%93%81%E5%B1%8B-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r51431,28938311,
港島,銅鑼灣,功德林上海素食 (銅鑼灣),"中菜, 滬菜",蛋奶素,銅鑼灣糖街25-31號Sugar+20樓,"22.2809718145942, 114.18676976207331",,https://www.openrice.com/zh/hongkong/r-%E5%8A%9F%E5%BE%B7%E6%9E%97%E4%B8%8A%E6%B5%B7%E7%B4%A0%E9%A3%9F-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%BB%AC%E8%8F%9C-%E4%B8%8A%E6%B5%B7-%E7%B4%A0%E9%A3%9F-r793570,28819966,
港島,銅鑼灣,PEEK-A-POKE,西式,蛋奶素,銅鑼灣希雲街16號地舖,"22.278259407089386, 114.18673439523968",,https://www.openrice.com/zh/hongkong/r-peek-a-poke-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%BE%8E%E5%9C%8B%E8%8F%9C-%E6%B2%99%E5%BE%8B-r599440,55957729,
港島,銅鑼灣,So Coco,雪糕店,純素,銅鑼灣霎東街9A號地舖,"22.277920973712167, 114.18290348777202",,https://www.openrice.com/zh/hongkong/r-so-coco-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B3%B0%E5%9C%8B%E8%8F%9C-%E9%9B%AA%E7%B3%95-%E4%B9%B3%E9%85%AA-r808873,35680228,
港島,銅鑼灣,樂園素食,"中菜, 粵菜",蛋奶素,銅鑼灣謝斐道535號Tower 535地庫B04號舖,"22.28135845298119, 114.18380235767272",,https://www.openrice.com/zh/hongkong/r-%E6%A8%82%E5%9C%92%E7%B4%A0%E9%A3%9F-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r689407,26331386,
港島,天后,天天素食,"中菜, 粵菜",蛋奶素,天后英皇道14號天后蘋果商場G6-7號舖,"22.282811109656564, 114.19250202456449",,https://www.openrice.com/zh/hongkong/r-%E5%A4%A9%E5%A4%A9%E7%B4%A0%E9%A3%9F-%E5%A4%A9%E5%90%8E-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%B4%A0%E9%A3%9F-r30333,25660096,
港島,北角,素之樂創意蔬食料理,多國菜,蛋奶素,北角渣華道56號胡日皆商業中心1樓108室,"22.291940827793606, 114.19791819401561",,https://www.openrice.com/zh/hongkong/r-%E7%B4%A0%E4%B9%8B%E6%A8%82%E5%89%B5%E6%84%8F%E8%94%AC%E9%A3%9F%E6%96%99%E7%90%86-%E5%8C%97%E8%A7%92-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E7%B4%A0%E9%A3%9F-r19779,28071130,
